MB_CODE16,lat,lon
"10011670000",-33.89209200,151.11419700
"10011680000",-33.88657240,151.11597660
"10011690000",-33.89256170,151.11513210
"10011700000",-33.89362990,151.11879830
"10011710000",-33.88954630,151.11769770
"10011720000",-33.89476640,151.11983720
"10011730000",-33.88263040,151.11918240
"10011740000",-33.87307460,151.11958110
"10011750000",-33.87881820,151.12016760
"10011760000",-33.87324630,151.12075440
"10011770000",-33.89043560,151.12091070
"10011780000",-33.89377870,151.12178510
"10011790000",-33.87808260,151.12118870
"10011800000",-33.87764780,151.12060030
"10011820000",-33.89070720,151.12332280
"10011830000",-33.88283830,151.12296890
"10011840000",-33.88140300,151.12555610
"10011860000",-33.89235200,151.12578900
"10011870000",-33.89129850,151.12585830
"10011880000",-33.89934150,151.12684540
"10011890000",-33.90064510,151.12632990
"10011900000",-33.90214380,151.12658230
"10011910000",-33.89160440,151.12708840
"10011920000",-33.88810620,151.12986540
"10011930000",-33.89650840,151.13107010
"10011940000",-33.87423070,151.13235090
"10011950000",-33.87509490,151.13297170
"10011960000",-33.89467350,151.13207300
"10011970000",-33.87375950,151.13417110
"10011980000",-33.87696210,151.13454190
"10011990000",-33.87581910,151.13594000
"10012000000",-33.89446740,151.13522570
"10012010000",-33.89476840,151.13619150
"10012020000",-33.89300910,151.13902410
"10012030000",-33.87618980,151.13982960
"10012040000",-33.88346710,151.14054610
"10012050000",-33.87917550,151.14200070
"10012060000",-33.88578000,151.14243360
"10012070000",-33.87937990,151.14337260
"10012080000",-33.88458540,151.14308770
"10012090000",-33.87497460,151.14463640
"10012100000",-33.87542140,151.14571830
"10012110000",-33.87540350,151.14722540
"10012120000",-33.87309060,151.14858000
"10012130000",-33.89680790,151.13572930
"10012140000",-33.89532730,151.12372440
"10012150000",-33.89529460,151.12099170
"10012160000",-33.89058830,151.11331370
"10012170000",-33.88751870,151.11354430
"10012180000",-33.88581320,151.11394000
"10012190000",-33.89060850,151.11523410
"10012200000",-33.89316670,151.11936640
"10012230000",-33.89414800,151.11923050
"10012240000",-33.87748980,151.12253270
"10012250000",-33.89426270,151.12299470
"10012260000",-33.90358010,151.12611550
"10012270000",-33.90505780,151.12760990
"10012280000",-33.90406230,151.12806490
"10012290000",-33.90205940,151.12767070
"10012300000",-33.88524540,151.13505210
"10012310000",-33.87209910,151.14095840
"10012320000",-33.87450330,151.14349420
"10012330000",-33.88448350,151.12534620
"10012340000",-33.88531860,151.12484540
"10012360000",-33.89393490,151.13301230
"10012370000",-33.89595410,151.13585140
"10012380000",-33.89593390,151.13486470
"10012390000",-33.87443880,151.14060600
"10012400000",-33.90429770,151.12355740
"10012410000",-33.90589480,151.12314130
"10012420000",-33.90327830,151.12504120
"10012430000",-33.90294850,151.12970410
"10012440000",-33.87122570,151.14351800
"10012450000",-33.87736970,151.13750320
"10012470000",-33.88081190,151.13364110
"10012480000",-33.88005460,151.13482890
"10012490000",-33.87787100,151.12652410
"10012500000",-33.88166980,151.11708670
"10012511000",-33.88218810,151.11732130
"10012520000",-33.89410670,151.12935580
"10012530000",-33.90681980,151.12549840
"10012540000",-33.87798900,151.12413670
"10012550000",-33.87795060,151.12306840
"10012640000",-33.88387610,151.12477510
"10012650000",-33.88335470,151.12510510
"10012690000",-33.88682330,151.11711200
"10012700000",-33.88671470,151.11680820
"10012730000",-33.88449530,151.12845200
"10012740000",-33.88526910,151.12049220
"10012760000",-33.88559910,151.12160960
"10012770000",-33.88677160,151.12715360
"10012780000",-33.88692470,151.12770130
"10012790000",-33.88630090,151.12791540
"10012800000",-33.88705380,151.12813750
"10012820000",-33.88687140,151.13184430
"10012840000",-33.88490160,151.13233680
"10012850000",-33.88475050,151.13283200
"10012870000",-33.88714930,151.13493430
"10012890000",-33.88838960,151.13343910
"10012930000",-33.88869990,151.11951110
"10012940000",-33.88926930,151.11917650
"10012950000",-33.88860110,151.11991400
"10012960000",-33.88801430,151.11940130
"10012970000",-33.88901450,151.13351830
"10012980000",-33.88893160,151.13425050
"10012990000",-33.88817010,151.11842690
"10013000000",-33.88814430,151.11869970
"10013010000",-33.89110110,151.13152460
"10013020000",-33.89034200,151.13422780
"10013030000",-33.89112070,151.13458450
"10013050000",-33.89037140,151.13485800
"10013060000",-33.89127530,151.13536080
"10013090000",-33.88782560,151.14041310
"10013130000",-33.90224890,151.12496040
"10013140000",-33.87383790,151.13582760
"10013150000",-33.90278440,151.12871790
"10013160000",-33.90175750,151.13029200
"10013170000",-33.89965330,151.13080730
"10013180000",-33.89263300,151.12306060
"10013190000",-33.87619130,151.11971240
"10013230000",-33.89472340,151.11331370
"10013240000",-33.88185190,151.13177910
"10013250000",-33.88579610,151.12199720
"10013261000",-33.88725570,151.12354940
"10013270000",-33.88925650,151.12671200
"10013280000",-33.88920950,151.12348630
"10013290000",-33.89181470,151.13890970
"10013300000",-33.89091110,151.13910000
"10013310000",-33.89123010,151.13993540
"10013340000",-33.88361490,151.12631920
"10013350000",-33.88316110,151.12655050
"10013360000",-33.89314460,151.11834300
"10013370000",-33.89677160,151.13030180
"10013380000",-33.89413820,151.13020390
"10013390000",-33.89689360,151.13147090
"10013401000",-33.89826700,151.13332780
"10013402000",-33.89987600,151.13251880
"10013410000",-33.89739810,151.13432320
"10013421000",-33.89736250,151.13199150
"10013422000",-33.89707030,151.13286450
"10013423000",-33.89827630,151.13156900
"10013430000",-33.89376700,151.13144990
"10013440000",-33.89493900,151.13141840
"10013460000",-33.89466480,151.13078690
"10013500000",-33.89112570,151.13495400
"10013510000",-33.89057490,151.12240690
"10013520000",-33.89103150,151.13065390
"10013530000",-33.87127060,151.14649750
"10013540000",-33.87340810,151.14183510
"10013550000",-33.87307370,151.13942200
"10013580000",-33.88792390,151.14439330
"10013590000",-33.88599160,151.11892010
"10013610000",-33.88320070,151.13739550
"10013620000",-33.88421810,151.13664870
"10013631000",-33.88257000,151.13911910
"10013640000",-33.88496410,151.13719230
"10013650000",-33.88379630,151.13814290
"10013660000",-33.87555650,151.12443320
"10013681000",-33.87433320,151.12416780
"10013682000",-33.87467200,151.12534500
"10013690000",-33.87988030,151.11888520
"10013700000",-33.88089670,151.11803370
"10013710000",-33.88390300,151.11698250
"10013740000",-33.88218930,151.11826120
"10013750000",-33.87994110,151.11990240
"10013760000",-33.88104020,151.11907880
"10013770000",-33.87578900,151.12265020
"10013780000",-33.87469850,151.11978710
"10013790000",-33.87510440,151.12151730
"10013810000",-33.87952100,151.12119360
"10013820000",-33.88173330,151.11978430
"10013830000",-33.88074780,151.12044550
"10013840000",-33.87736940,151.12529130
"10013850000",-33.87864500,151.12405830
"10013860000",-33.87938680,151.12377100
"10013870000",-33.87894210,151.12481270
"10013880000",-33.88228850,151.12076050
"10013890000",-33.88027000,151.12229640
"10013920000",-33.88383150,151.12052310
"10013930000",-33.88597420,151.12308400
"10013940000",-33.88610440,151.12444780
"10013950000",-33.88431490,151.12426760
"10013960000",-33.88506870,151.12373430
"10013990000",-33.88364310,151.12386780
"10014000000",-33.88360410,151.12297200
"10014010000",-33.88407630,151.12339290
"10014020000",-33.88287460,151.12211290
"10014030000",-33.88339660,151.12165280
"10014040000",-33.88194530,151.12213390
"10014050000",-33.88119720,151.12271200
"10014060000",-33.88067050,151.12325640
"10014100000",-33.88600900,151.12774930
"10014111000",-33.88668320,151.12671710
"10014120000",-33.88641980,151.12716700
"10014130000",-33.88695090,151.12691630
"10014140000",-33.88675300,151.12836990
"10014150000",-33.88607800,151.12848240
"10014180000",-33.88856880,151.13156870
"10014250000",-33.88577770,151.13661840
"10014260000",-33.88623990,151.13783710
"10014270000",-33.88635760,151.13258900
"10014280000",-33.88758610,151.13269230
"10014290000",-33.88610550,151.13135920
"10014300000",-33.88579780,151.13209990
"10014330000",-33.88743590,151.12891120
"10014350000",-33.88432610,151.13212640
"10014360000",-33.88476840,151.13115830
"10014380000",-33.88500910,151.13056590
"10014390000",-33.88549450,151.13100270
"10014400000",-33.88519860,151.13009960
"10014410000",-33.88553000,151.12915050
"10014420000",-33.88569280,151.13038860
"10014450000",-33.88385810,151.13373450
"10014460000",-33.88363130,151.13291680
"10014470000",-33.88253870,151.13295830
"10014480000",-33.88314270,151.13253250
"10014490000",-33.88375420,151.13165350
"10014500000",-33.88329380,151.13155090
"10014510000",-33.88398190,151.13114430
"10014520000",-33.88353450,151.13068440
"10014530000",-33.88380660,151.13001740
"10014540000",-33.88445300,151.12993700
"10014550000",-33.88424180,151.13045590
"10014560000",-33.88474150,151.12928150
"10014570000",-33.88414200,151.12919480
"10014580000",-33.88418960,151.12819730
"10014590000",-33.88491970,151.12840210
"10014600000",-33.88541940,151.12836280
"10014610000",-33.88498840,151.12753070
"10014640000",-33.88278170,151.13017520
"10014650000",-33.88124480,151.12846220
"10014660000",-33.88065270,151.12929780
"10014670000",-33.88131570,151.12911460
"10014680000",-33.88004510,151.13047660
"10014730000",-33.87851850,151.12862780
"10014770000",-33.87592960,151.12613990
"10014790000",-33.88361600,151.12488840
"10014800000",-33.88395160,151.12584740
"10014810000",-33.88350990,151.12740550
"10014840000",-33.88277210,151.12903940
"10014850000",-33.88312000,151.12795670
"10014880000",-33.88184800,151.12783650
"10014890000",-33.88189610,151.12677700
"10014900000",-33.88245960,151.12718540
"10014910000",-33.88025350,151.12807220
"10014920000",-33.87949650,151.12660240
"10014930000",-33.87994020,151.12691720
"10014940000",-33.87955280,151.12800170
"10014950000",-33.87885730,151.12644750
"10014960000",-33.87883410,151.12744000
"10014970000",-33.88442920,151.11537740
"10014980000",-33.88500390,151.11765050
"10014990000",-33.89268910,151.11605300
"10015000000",-33.89054950,151.11425840
"10015010000",-33.89814440,151.12903910
"10015020000",-33.89796460,151.12691520
"10015030000",-33.90028630,151.12832960
"10015040000",-33.89907960,151.12844160
"10015050000",-33.90200920,151.12578990
"10015060000",-33.89859710,151.12538690
"10015070000",-33.90052450,151.12514370
"10015080000",-33.89530140,151.12816100
"10015090000",-33.89403690,151.12826690
"10015100000",-33.89142650,151.12966650
"10015110000",-33.89170200,151.12858120
"10015120000",-33.89242670,151.12837910
"10015130000",-33.89299590,151.12916260
"10015140000",-33.89178640,151.13094520
"10015150000",-33.89283230,151.13088570
"10015160000",-33.89702170,151.12858990
"10015170000",-33.89025980,151.13111000
"10015181000",-33.89106470,151.13206040
"10015182000",-33.89184250,151.13213020
"10015190000",-33.89182940,151.13153930
"10015200000",-33.89280480,151.13211100
"10015210000",-33.89217000,151.13152440
"10015220000",-33.89280480,151.13149680
"10015250000",-33.90428850,151.12503080
"10015260000",-33.90492070,151.12632850
"10015280000",-33.89499200,151.11861540
"10015290000",-33.89493310,151.11730260
"10015300000",-33.89470620,151.12178990
"10015310000",-33.89473460,151.12400260
"10015320000",-33.89320860,151.12421790
"10015330000",-33.89307840,151.12486930
"10015340000",-33.89136550,151.12499270
"10015350000",-33.89043850,151.12419740
"10015360000",-33.89134970,151.12406330
"10015370000",-33.89315070,151.11677130
"10015380000",-33.89210500,151.11659420
"10015390000",-33.89001940,151.11700840
"10015400000",-33.89038490,151.11625870
"10015410000",-33.88896490,151.11584060
"10015420000",-33.88732280,151.11759660
"10015431000",-33.88789100,151.11812640
"10015432000",-33.88813460,151.11905320
"10015460000",-33.88688840,151.12261180
"10015500000",-33.89041360,151.12148930
"10015550000",-33.89127520,151.11760070
"10015560000",-33.89079770,151.11793860
"10015570000",-33.89309560,151.11747280
"10015580000",-33.89193750,151.11747740
"10015590000",-33.89206820,151.11847770
"10015600000",-33.89257910,151.11903700
"10015610000",-33.89256950,151.12015510
"10015620000",-33.89493910,151.12565760
"10015630000",-33.89389790,151.12648620
"10015640000",-33.89493910,151.12689690
"10015650000",-33.89707960,151.12563030
"10015660000",-33.89610970,151.12692980
"10015670000",-33.89714310,151.12684770
"10015700000",-33.89128410,151.13606170
"10015722000",-33.89135720,151.13774710
"10015732000",-33.89134670,151.13861950
"10015740000",-33.89032510,151.13600080
"10015751000",-33.89049090,151.13761540
"10015752000",-33.89120630,151.13692090
"10015760000",-33.89339880,151.14024090
"10015770000",-33.89322730,151.13949670
"10015781000",-33.89490180,151.14013900
"10015782000",-33.89486020,151.14115000
"10015811000",-33.89490560,151.13914260
"10015830000",-33.89259870,151.13709790
"10015840000",-33.89585990,151.13740330
"10015850000",-33.89486450,151.13717130
"10015860000",-33.89365910,151.13726390
"10015870000",-33.89586160,151.13425260
"10015890000",-33.89597900,151.13317590
"10015900000",-33.89612970,151.13361830
"10015910000",-33.89407000,151.13447210
"10015920000",-33.89436140,151.13328320
"10015930000",-33.89270360,151.13281200
"10015941000",-33.89271790,151.13446910
"10015942000",-33.89332600,151.13400900
"10015961000",-33.89196550,151.13406760
"10015962000",-33.89270360,151.13364230
"10015970000",-33.89184350,151.13591840
"10015992000",-33.89302700,151.13651390
"10016001000",-33.89210010,151.14138610
"10016002000",-33.89239730,151.14277360
"10016012000",-33.89357910,151.14118880
"10016020000",-33.89114030,151.13349040
"10016030000",-33.89105860,151.13284310
"10016040000",-33.89115750,151.13405490
"10016050000",-33.89029600,151.13317390
"10016070000",-33.88884870,151.13551980
"10016080000",-33.88886850,151.13494740
"10016090000",-33.89199510,151.14365460
"10016100000",-33.88845640,151.13703870
"10016110000",-33.88865260,151.13767090
"10016140000",-33.88918840,151.13840630
"10016151000",-33.88974810,151.13884900
"10016160000",-33.88931910,151.13930320
"10016180000",-33.88786480,151.13884720
"10016200000",-33.88879220,151.13995400
"10016210000",-33.88815020,151.13958280
"10016220000",-33.88876740,151.13911970
"10016230000",-33.88761560,151.14005640
"10016240000",-33.88736040,151.14090810
"10016250000",-33.88734100,151.13930530
"10016260000",-33.88657150,151.13866640
"10016280000",-33.88915400,151.14100160
"10016290000",-33.89008230,151.14149730
"10016300000",-33.89066260,151.14225360
"10016330000",-33.89118240,151.14341830
"10016342000",-33.88998970,151.14324140
"10016350000",-33.88944340,151.14249220
"10016360000",-33.88861910,151.14140540
"10016370000",-33.88738600,151.14309350
"10016390000",-33.88528790,151.14372060
"10016400000",-33.88664500,151.14204610
"10016411000",-33.88645830,151.14099650
"10016414000",-33.88851240,151.14247690
"10016415000",-33.88852040,151.14353850
"10016420000",-33.88409560,151.13940270
"10016430000",-33.88561550,151.13959230
"10016440000",-33.88217130,151.14298930
"10016450000",-33.87245180,151.14506580
"10016460000",-33.87316830,151.14671130
"10016470000",-33.87625910,151.14118450
"10016482000",-33.87484080,151.14181250
"10016490000",-33.87719620,151.14469490
"10016510000",-33.87503470,151.13663660
"10016520000",-33.87444360,151.13809160
"10016530000",-33.87611630,151.13790570
"10016540000",-33.87751630,151.13579610
"10016581000",-33.87833110,151.14118810
"10016582000",-33.87802600,151.13991870
